number of nodes,time in ms
10,0.0629425048828125
60,2.3262739181518555
110,7.456159591674805
160,15.652942657470703
210,26.991915702819824
260,40.42849540710449
310,57.17580318450928
360,77.22618579864502
410,100.00336170196533
460,124.94864463806152
510,154.35357093811035
560,186.14530563354492
610,220.40441036224365
660,259.5268249511719
710,295.3803539276123
760,340.37232398986816
810,385.5637311935425
860,436.7776155471802
910,482.07831382751465
960,543.9663648605347
1010,602.4146318435669
1060,656.0594797134399
1110,724.1896390914917
1160,789.3501996994019
1210,856.8267822265625
1260,924.0261554718018
1310,990.1444911956787
1360,1070.6830978393555
1410,1162.932801246643
1460,1253.1903982162476
1510,1338.906168937683
1560,1439.5487308502197
1610,1529.2263269424438
1660,1614.965295791626
1710,1708.4352016448975
1760,1820.0043678283691
1810,1921.338129043579
1860,2035.5054855346682
1910,2142.803144454956
1960,2268.2191371917725
2010,2368.877673149109
2060,2502.505302429199
2110,2638.2339477539062
2160,2729.245448112488
2210,2851.4054775238037
2260,2992.240071296692
2310,3103.576350212097
2360,3247.8440523147583
2410,3378.671431541443
2460,3508.3519220352173
2510,3659.278416633606
2560,3821.494174003601
2610,3948.8505601882935
2660,4106.245017051697
2710,4265.168333053589
2760,4426.580214500427
2810,4594.543027877808
2860,4750.192546844482
2910,4920.196413993835
2960,5104.49378490448
3010,5260.76979637146
3060,5439.698886871338
3110,5641.35730266571
3160,5801.040530204773
3210,5994.307446479797
3260,6169.0399169921875
3310,6358.536720275879
3360,6543.33062171936
3410,6742.912149429321
3460,6957.428002357483
3510,7179.513001441956
3560,7348.989272117615
3610,7574.73406791687
3660,7770.621919631958
3710,7994.554305076599
3760,8195.347619056702
3810,8445.835828781128
3860,8656.521773338318
3910,8868.093705177307
3960,9086.848735809326
4010,9343.777322769165
4060,9597.02353477478
4110,9836.64002418518
4160,10041.355443000793
4210,10297.67153263092
4260,10541.765427589417
4310,10788.609886169434
4360,11029.529404640198
4410,11306.40845298767
4460,11533.155393600464
4510,11798.641085624695
4560,12068.068408966064
4610,12333.341145515442
4660,12595.940399169922
4710,12836.082983016968
4760,13171.833491325378
4810,13447.461891174316
4860,13800.738334655762
4910,14049.275708198547
4960,14290.00735282898
